,LoanID,Loanscore,Subject..Property.City,Subject..PropertyState,distancemiles,Male.Female,curbal,OrigTransdays,Origination.UPB,Repeat,Lending.Value,Interest.Rate,LTV,Credit.Score,Open.Current.Mortgage.Late,Closed.Past.Mortgage.Late,Foreclosure,Open.Current.Auto.Late,Closed.Past.Auto.Late,Open.Current.Revolving.Late,Closed.Revolving.Late,Open.Current.Education.Late,Closed.Past.Education.Late,Open.Current.Installment.Late,Closed.Past.Installment.Late,Bankrupcy,Charge.offs,Collections,Debt.High.Credit....,DOM,Yearbuilt,X..of.comarable.properties,Comparable.properties.lower.price,Comparable.properties.upper.price,X..of.comparable.sales,Comparable.sale.lower.price.range,Comparable.sale.upper.price.range,Rooms,Bedrooms,Baths,Square.feet.of.gross.living.area,Sale.Price,Price.of.Prior.Sale.Transfer,Appraisal.price,Indicated.Value.by.Cost.Approach,Indicated.Value.by.Income.Approach,Appraisal.Monthly.Rent,Market.Rent,Total...of.Comarable.Sales...prior.7.12.months.,Total...of.Comarable.Sales...prior.4.6.months.,Total...of.Comarable.Sales...prior.current.3.months.,Absorption.Rate...prior.7.12.months.,Absorption.Rate...prior.4.6.months.,Absorption.Rate...prior.current.3.months.,Total...of.Comparable.Active.listings.prior.7.12.months.,Total...of.Comparable.Active.listings.prior.4.6.months.,Total...of.Comparable.Active.listings.prior.current.3.months.,Median.Comparable.Sale.Price..prior.7.12.months.,Median.Comparable.Sale.Price..prior.4.6.months.,Median.Comparable.Sale.Price..prior.current.3.months.,Median.Comparable.sales.Days.on.market.prior.7.12.months.,Median.Comparable.sales.Days.on.market.prior.4.6.months.,Median.Comparable.sales.Days.on.market.prior.current.3.months.,Median.Comparable.List.Price.prior.7.12.months.,Median.Comparable.List.Price.prior.4.6.months.,Median.Comparable.List.Price.prior.current.3.months.,median.Comparable.listings.Days.on.Market.prior.7.12.months.,median.Comparable.listings.Days.on.Market.prior.4.6.months.,median.Comparable.listings.Days.on.Market.prior.current.3.months.,Median.Sale.Price.a.s..of.List.Price.prior.7.12.months.,Median.Sale.Price.a.s..of.List.Price.prior.4.6.months.,Median.Sale.Price.a.s..of.List.Price.prior.current.3.months.,Months.of.Housing.Supply.prior.7.12.months.,Months.of.Housing.Supply.prior.4.6.months.,Months.of.Housing.Supply.prior.current.3.months.,Foreclosure.sales,VFS.Internal.Value,WLV,X..of.home.purchased.in.last.3.years,X..of.years.investing,X..of.Properties.currently.owned,Current.Rent,Borrower.Rent,Expected.cost.to.Rehab63,Expected.flip.price,Borrower.Age.Group,Size,Origination.Quarter,Loan.Type,Loan.Term,Loan.Purpose,Prime.Sub.Prime,Current.NonCurrent,First.Payment.Default,Occupant,Assignment.Type,Location,Built.up,Growth,Property.Values,Demand.Supply,Marketing.Time,Units,Type,Condition,Rent.Own,Full.or.Part.Time.investor,Classifier,MR.UPB,MR.LV,MR.VFS,MR.APP,MR.MCSP,LV.VFS,APP.VFS,UPB.VFS,logloanscore
12,1309008,500,Fort Plain,NY,100.48,F,14026.83,-16930.85,19565,2,35000,0.18,0.559,694,N,N,N,N,N,N,N,N,N,N,N,N,2.09,3.77,2.6841,140.29,75,3,29900,98500,4,14704,79000,4,1,1,3024,0,25474.77,35000,39000,106700,2600,1094.2,3,0,1,0.5,0,0.33,3,4,3,44000,0,28000,253,0,0,54500,76500,54500,322,498,248,0.82,82,0.82,6,0,9.09,0,31460,5010.2,0,0,0,0,0,0,0,6. 65+,"2. $10,001-19,999",2014 Q1,Third Party Lending,3 Yr,Refi-Cashout,Prime,Current,OK,tenant,Refinance Transaction,rural,25-75%,stable,stable,in balance,3-6 mths,4,det.,c3,Own,PT,Good,0.055926399,0.031262857,0.034780674,0.031262857,0.039078571,1.11252384,1.11252384,0.621900826,2.079441542
23,1311047,500,Pittsburgh,PA,3,M,27563.22,1024,31256,3,65000,0.18,0.48086,615,N,N,N,N,N,N,N,N,N,N,N,N,1.59,3.41,2.1381,126.41,115,3,69000,79900,6,65000,80000,7,3,2,968,56750.14,8000,65000,87410,48620.84,843.35,1006.1,2,0,4,0.33,0,1.33,2,4,3,68950,0,70200,63,0,53,74900,77400,72500,144,107,74,0.99,0,0.94,6.06,0,2.26,0,48680,11137.87,0,0,0,0,0,0,0,4. 45-54,"4. $30,000-$39,000",2014 Q1,Third Party Lending,5 Yr,Refi-Cashout,Prime,Current,OK,tenant,Refinance Transaction,urban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c3,Own,PT,Good,0.03218902,0.015478462,0.020667625,0.015478462,0.014331909,1.335250616,1.335250616,0.642070666,2.079441542
24,1311056,500,Independence,MO,0.05,M,26182.71,588.13,29865,1,55000,0.18,0.543,588,N,N,N,N,N,N,N,N,N,N,N,N,2,3,7.7,94.86,105,5,59000,79000,7,55000,180000,5,2,1,2236,50877.92,21771.39,55000,55100,55500,887,983,7,1,0,1.17,0.33,0,5,1,2,75000,55000,0,139,48,0,76000,59000,65000,148,133,30,0.99,93,0.0272,4.27,3.03,0,0,49390,13565.7,2.36,6.55,5.07,-3.56E-15,464.65,1010,12379,4. 45-54,"3. $20,000-$29,999",2014 Q2,Third Party Lending,5 Yr,Refi-Cashout,Prime,Current,OK,tenant,Refinance Transaction,suburban,25-75%,stable,stable,in balance,3-6 mths,3,att.,c5,Own,FT,Good,0.032914783,0.017872727,0.019902814,0.017872727,0,1.113585746,1.113585746,0.60467706,2.079441542
25,1311101,159.6153846,Titusville,PA,0.94,F,18947,304,18947,1,26000,0.18,0.72873,584,N,N,N,N,N,N,N,N,N,N,N,Y,0,1,1.8309,189.46,105,8,19900,49900,6,38000,58500,6,3,1,1218,26001,7501,26000,56105,37893.12,3448.69,1045.2,1,1,5,0.17,0.33,1.67,9.04,9.15,7,38000,41000,42400,470,263,100,38000,46500,49860,191.03,203.92,209,0.01,0.88,0.85,20.0531,13.0368,4.19,0,35740,8697.82,0,0,0,0,0,0,0,3. 35-44,"2. $10,001-19,999",2014 Q2,Third Party Lending,5 Yr,Purchase,Sub Prime,Non Current,Default,tenant,Purchase Transaction,urban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c6,Rent,FT,Bad,0.055164406,0.0402,0.029244544,0.0402,0.024650943,0.727476217,0.727476217,0.530134303,1.405336896
26,1311101,159.6153846,Titusville,PA,0.94,M,18947,305,18947,1,26000,0.18,0.72873,470,N,N,N,N,N,N,N,N,N,N,N,Y,3,4,1.27,190.83,105,8,19900,49900,6,38000,58500,6,3,1,1218,26000,7500,26000,56105,33904.89,10101.61,1050.2,1,1,5,0.17,0.33,1.67,9.18,9.71,7,38000,41000,42400,470,263,100,38000,46500,49860,188.19,205.89,209,0.01,0.88,0.85,19.4958,13.8572,4.19,0,35580,9699.97,0,0,0,0,0,0,0,3. 35-44,"2. $10,001-19,999",2014 Q2,Third Party Lending,5 Yr,Purchase,Sub Prime,Non Current,Default,tenant,Purchase Transaction,urban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c5,Rent,PT,Bad,0.0554283,0.040392308,0.029516582,0.040392308,0.024768868,0.730747611,0.730747611,0.532518269,1.405336896
32,1312068,500,District Heights,MD,15.33,F,56449.62,349.31,65143,5,104000,0.18,0.68572,570,N,N,N,N,N,N,N,N,N,N,N,N,1.87,5.83,2.4639,13,25,20,97000,169900,31,90000,168000,4,2,1.1,1307,95000,52086.44,104000,143856,96035.91,1485.76,1100.1,14,9,8,2.33,3,2.67,21.96,17.44,20,116000,116000,127000,55,41,32,130211.68,121105.29,130000,88.13,85.93,9,1,100,1,9.5965,8.0592,7.49,0.51,87492,11675.36,0,0,0,0,0,0,0,4. 45-54,"6. >$60,000",2014 Q1,Third Party Lending,5 Yr,Purchase,Sub Prime,Current,OK,tenant,Purchase Transaction,suburban,25-75%,stable,stable,in balance,Under 3 mths,1,att.,c4,Own,PT,Good,0.016887463,0.010577885,0.012573721,0.010577885,0.008662205,1.188680108,1.188680108,0.744559503,2.079441542
33,1312145,555.5555556,Hernando,MS,92.32,M,31388.5748,498.2,32270,3,80000,0.18,0.71711,593,N,N,N,N,N,N,N,N,N,N,N,N,1.48,3.45,1.7117,174,53,4,59900,149000,7,36000,167500,6,3,1,1306,45000,26768.1,80000,81768,67338.81,1294.89,928.4,1,2,4,0.17,0.67,1.33,5,3,4,43048,77000,94500,81,199,148,60000,60000,102450,218,218,92,0.53,84.43,0.94,29.41,4.48,3.01,0,49810,6548.38,0,0,0,0,0,0,0,3. 35-44,"4. $30,000-$39,000",2014 Q1,Third Party Lending,5 Yr,Purchase,Prime,Non Current,OK,vacant,Purchase Transaction,suburban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c3,Own,PT,Good,0.028769755,0.011605,0.018638828,0.011605,0.009824339,1.606103192,1.606103192,0.647861875,2.140066163
34,1312148,555.5555556,Vicksburg,MS,1.22,F,26647.0749,2184,13257,8,30000,0.18,0.75754,536,N,N,N,N,N,N,N,N,N,N,N,N,2.72,6.34,2.4393,152,65,8,25000,50000,5,25000,50000,6,3,1,1084,39915.6875,82000,35000,55343,57746.02,5066.73,1000.4,1,2,2,0.17,0.67,0.67,80.18,21.62,8,20000,32000,25000,91,123,259,79311.4,87742.68,347450,143.07,223.21,236,0.5,91.81,0.75,22.2413,17.2217,11.94,1,41940,8448.53,0,0,0,0,0,0,0,5. 55-64,"2. $10,001-19,999",2014 Q1,Third Party Lending,5 Yr,Purchase,Sub Prime,Non Current,OK,vacant,Other,suburban,25-75%,stable,stable,in balance,3-6 mths,1,det.,c3,Own,PT,Good,0.07546202,0.033346667,0.023853124,0.028582857,0.040016,0.715307582,0.834525513,0.316094421,2.140066163
35,1312168,468.75,Kannapolis,NC,25.41,M,41354.63,473,46860,4,88000,0.18,0.5325,568,N,N,N,N,N,N,N,N,N,N,N,N,1.95,4.6,1.8835,82.03,60,16,60000,110900,15,60000,107770,6,3,1,1224,69053.74,29000,88000,91400,72793.4,1038,974.4,8,5,2,1.33,1.67,0.67,14.87,13.43,16,76000,85000,85000,204,109,93,82308.88,86264.42,86000,163.69,154.86,130,0.91,93,0.9,13.8038,10.5618,23.88,0,65780,15464.2,0,0,0,0,0,0,0,2. 25-34,"5. $40,000-$49,999",2014 Q1,Third Party Lending,5 Yr,Refi-Cashout,Sub Prime,Current,OK,tenant,Refinance Transaction,suburban,Over 75%,stable,stable,over supply,3-6 mths,1,det.,c3,Own,PT,Bad,0.020793854,0.011072727,0.014813013,0.011072727,0.011463529,1.337792642,1.337792642,0.712374582,2.039595633
36,1401001,571.4285714,Vicksburg,MS,1.38,F,20540.4962,-2709.93,22140,8,40000,0.18,0.5535,536,N,N,N,N,N,N,N,N,N,N,N,N,2.51,5.36,1.5914,169.91,76,8,22000,50000,5,25000,72500,6,4,3,1870,37141.38,23048.28,45000,63774.69,31890.1,1224.1,922.9,1,2,2,0.17,0.67,0.67,1,1,1,72500,32000,25000,259,123,91,0,0,37450,0,0,236,0,0,0.75,5.88,1.49,1.49,0,39060,11293.42,0,0,0,0,0,0,0,3. 35-44,"3. $20,000-$29,999",2014 Q1,Third Party Lending,5 Yr,Refi-Cashout,Sub Prime,Non Current,Default,vacant,Refinance Transaction,suburban,25-75%,stable,stable,in balance,3-6 mths,1,det.,c6,Own,FT,Good,0.041684734,0.0230725,0.023627752,0.020508889,0.036916,1.02406554,1.152073733,0.566820276,2.14843108
